Date,Close/Last,Volume,Open,High,Low
1051,$149.70,93979670,$145.82,$150.01,$144.37
1050,$146.87,118854000,$141.24,$146.87,$139.50
1049,$134.87,74917790,$138.50,$138.55,$134.5933
1048,$139.50,89908480,$140.41,$141.43,$137.49
1047,$138.92,83374630,$137.11,$139.145,$135.671
1044,$138.38,140814800,$142.09,$142.67,$134.38
1043,$138.88,97918520,$142.06,$142.80,$138.75
1042,$145.03,93604620,$148.945,$152.17,$145.00
1041,$150.65,80379350,$155.08,$155.45,$149.13
1040,$153.34,97943170,$153.155,$154.24,$151.92
1037,$155.74,164762400,$148.20,$157.50,$147.82
1036,$144.80,109180200,$148.07,$149.046,$144.13
1035,$149.35,88436170,$150.96,$151.99,$148.04
1034,$152.34,74732290,$150.09,$152.49,$149.36
1033,$149.45,75981920,$147.185,$150.23,$146.00
1030,$147.27,86548610,$142.87,$147.8479,$142.649
1029,$143.39,64521990,$143.02,$145.89,$142.65
1028,$143.86,61758340,$141.69,$144.9492,$141.50
1027,$143.75,99136610,$145.49,$146.70,$140.61
1026,$142.41,85250940,$141.065,$142.90,$140.27
1023,$138.38,88597970,$144.31,$144.52,$138.19
1022,$142.99,113224000,$134.99,$143.59,$134.37
1021,$138.34,70433740,$139.13,$140.36,$138.16
1020,$138.98,77033670,$139.90,$141.35,$138.22
1019,$140.42,74899000,$140.42,$141.89,$138.5729
1016,$140.09,85925560,$142.54,$143.10,$139.445
1015,$145.43,68402170,$145.81,$147.54,$145.22
1014,$146.40,79470970,$144.075,$147.38,$143.01
1013,$146.10,87830060,$145.03,$146.22,$144.26
1012,$142.45,114311700,$138.21,$143.07,$137.685
1009,$138.20,124925300,$141.28,$143.10,$138.00
1008,$142.48,128138200,$146.10,$146.72,$140.68
1007,$149.84,146691400,$147.64,$150.6414,$144.84
1006,$151.76,84442740,$152.74,$154.72,$149.945
1005,$150.77,93339410,$149.66,$153.7701,$149.64
1002,$150.43,96029910,$151.19,$151.47,$148.56
1001,$152.74,86652540,$152.38,$154.47,$150.91
1000,$153.72,101696800,$157.34,$158.74,$153.60
999,$156.90,107689800,$153.40,$158.08,$153.08
998,$154.48,81474250,$149.31,$154.56,$149.10
995,$150.70,162278800,$151.21,$151.35,$148.37
994,$152.37,90481110,$154.65,$155.24,$151.38
993,$155.31,87965410,$154.785,$157.10,$153.6106
992,$153.84,122656600,$159.90,$160.54,$153.37
991,$163.43,104956000,$159.59,$164.26,$159.30
988,$157.37,68081010,$155.47,$157.82,$154.75
987,$154.46,84923850,$154.64,$156.36,$152.68
986,$155.96,87449570,$154.825,$156.67,$153.61
985,$154.53,73714840,$156.47,$157.09,$153.69
981,$155.81,76957770,$159.75,$160.362,$154.965
980,$157.96,74229900,$156.64,$158.42,$154.67
979,$157.22,87991090,$160.305,$160.58,$157.14
978,$158.91,77906200,$162.13,$162.56,$157.72
977,$161.38,73313950,$161.145,$162.90,$159.82
974,$163.62,78960980,$170.57,$171.05,$163.56
973,$170.03,51218210,$168.78,$170.14,$168.35
972,$167.53,53841520,$167.32,$168.11,$166.245
971,$167.23,54147080,$167.08,$168.71,$166.65
970,$167.57,69026810,$169.69,$169.86,$167.135
967,$171.52,70346300,$173.03,$173.74,$171.3101
966,$174.15,62290080,$173.75,$174.90,$173.12
965,$174.55,79542040,$172.77,$176.15,$172.57
964,$173.03,56377050,$172.78,$173.71,$171.6618
963,$173.19,54091690,$171.52,$173.39,$171.345
960,$172.10,68039380,$169.82,$172.17,$169.40
959,$168.49,57149160,$170.06,$170.99,$168.19
958,$169.24,70170540,$167.68,$169.34,$166.90
957,$164.92,63135500,$164.02,$165.82,$163.25
956,$164.87,60362340,$166.37,$167.81,$164.20
953,$165.35,56696990,$163.21,$165.85,$163.00
952,$165.81,55474140,$166.005,$167.19,$164.43
951,$166.13,82507490,$160.84,$166.59,$160.75
950,$160.01,59907030,$160.10,$162.41,$159.63
949,$161.51,67829380,$161.01,$163.59,$160.89
946,$162.51,101786900,$161.24,$163.63,$159.50
945,$157.35,81378730,$156.98,$157.64,$154.41
944,$156.79,78620690,$152.58,$157.33,$152.16
943,$151.60,55138690,$152.265,$153.085,$150.80
942,$152.95,53623950,$154.01,$155.04,$152.28
939,$154.09,66675410,$155.39,$156.28,$153.41
938,$155.35,65086640,$154.50,$155.57,$151.94
937,$153.04,64823410,$151.12,$153.72,$150.37
936,$151.00,82982370,$147.92,$151.23,$146.91
935,$147.07,81420870,$150.74,$151.57,$146.70
932,$150.17,76259930,$149.78,$150.86,$148.20
931,$148.47,78140740,$144.08,$148.95,$143.25
930,$145.49,71185560,$142.99,$146.45,$142.1201
929,$145.86,77588760,$145.76,$148.45,$145.05
928,$144.87,63305110,$145.67,$146.64,$143.78
925,$147.04,64547800,$145.265,$147.55,$145.00
924,$146.35,66253710,$143.29,$146.55,$143.28
